input_id,version,input,value
0,original,"[2.0, 3.0, 4.0, 10.0]",24.0
0,manual,"[2.0, 3.0, 4.0, 10.0]",24.0
0,herbie,"[2.0, 3.0, 4.0, 10.0]",24.0
1,original,"[1.5, -2.0, 5.0, 0.25]",-15.0
1,manual,"[1.5, -2.0, 5.0, 0.25]",-15.0
1,herbie,"[1.5, -2.0, 5.0, 0.25]",-15.0
2,original,"[1.0, 1.0, 1.0, 9.999999682655225e-21]",1.0
2,manual,"[1.0, 1.0, 1.0, 9.999999682655225e-21]",1.0
2,herbie,"[1.0, 1.0, 1.0, 9.999999682655225e-21]",1.0
3,original,"[1.0000000200408773e+20, 1.0000000200408773e+20, 9.999999682655225e-21, 1.0000000031710769e-30]",inf
3,manual,"[1.0000000200408773e+20, 1.0000000200408773e+20, 9.999999682655225e-21, 1.0000000031710769e-30]",inf
3,herbie,"[1.0000000200408773e+20, 1.0000000200408773e+20, 9.999999682655225e-21, 1.0000000031710769e-30]",1.0000000200408773e+20
2026-06-14T17:28:39,"[1.3, 1231.6, 0.9, 1.1, 1.4]","[0.4, 0.2, 0.5, 0.3, 0.1]","[3.252946461006727, 3427.3445436661077, 1.9875039689822993, 1.4658729818636786, 2.8106734646267406]","[2.2221668200971587, 358.7937848012444, 2.7560659648666492, 2.1521901999977247, 1.7890153505807134]","[3.2529464610067276, 3427.3445436661077, 1.9875039689822998, 1.4658729818636789, 2.810673464626741]","[2.2221668200971596, 358.79378480124456, 2.75606596486665, 2.152190199997725, 1.7890153505807136]","[3.2529464610067276, 3427.3445436661077, 1.9875039689822998, 1.4658729818636789, 2.810673464626741]","[2.2221668200971596, 358.79378480124456, 2.75606596486665, 2.152190199997725, 1.7890153505807136]",1.7053025658242404e-13,1.7053025658242404e-13,0.0
